mooring,mattime,burstDist,iceBurstPercent,A,dlvl,ll,lf,hkTot,hkRel,hkMax,lk,vRdg,aRdg,ai
SODA_A,737337.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SODA_A,737344.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SODA_A,737351.5,24199.5010557835,0.571428571428571,0.535100003335253,0.218174552944901,29.8417717775127,34.3478861953878,1.48107767647466,1.17274230887907,3.57921209835276,361.186582922142,1540.60026855136,2014.22391692571,12949.1530956612
SODA_A,737358.5,17865.4361367929,0.797619047619048,0.764908195314079,0.332522856106381,22.3405192707431,72.6883963504956,1.75214884833124,1.38486392773727,6.60827405935887,152.696035357204,3599.7296465795,3664.84647749534,13665.4185138932
SODA_A,737365.5,14645.4108515017,0.928571428571429,0.610454332015985,0.301186120296439,15.1730222155547,23.7775385597158,1.98057192851725,1.63461140417834,6.04757872953406,103.868162067388,4096.34237332931,3222.69479323965,8940.35449845312
SODA_A,737372.5,17257.9284788787,0.69047619047619,0.326746237332989,0.294277461293149,37.9704747851086,18.4279842961942,1.96706930439438,1.6749402207267,6.238094881566,170.870578998799,3127.46919278079,2085.30536188515,5638.96319463544
SODA_A,737379.5,12314.8410030017,0.94047619047619,0.914412474763029,0.363123299454298,17.8643519514186,190.861766743525,2.10957878614248,1.71435822894931,5.72446566764672,93.2942500227399,4927.05114037693,3484.63719789262,11260.844237868
SODA_A,737386.5,20195.6012989781,1,0.99691055427106,0.448391189819419,4.79947801357664,1548.70831421551,2.25827529162413,1.82847212081607,10.6642285606298,87.4268454501217,10863.301033407,6736.24346969362,20133.2080848016
SODA_A,737393.5,26388.1261891946,0.988095238095238,0.980571371976106,0.551034436789477,36.6203634269599,1848.24579294408,2.1315475562398,1.57272537345934,9.78366148026613,96.3070298875714,10506.7229500708,6680.89205679529,25875.4411012171
SODA_A,737400.5,12130.9932818682,0.976190476190476,0.924062194509789,0.566390262076629,29.7161615561798,361.606202375054,2.29611979791625,1.73050744631716,7.08812696829659,114.443332847814,4462.22678832367,2643.58527397539,11209.7922736267
SODA_A,737407.5,14742.1282106415,0.988095238095238,0.975003418991244,0.551954093096899,30.7085668382309,1197.80211738189,2.2296269471106,1.64122393795037,7.338022444984,98.94045778954,5075.58719020846,3370.70583177265,14373.6254085827
SODA_A,737414.5,6812.31418279694,0.904761904761905,0.919347515388317,0.693177766611447,15.6980018513709,178.939546228542,2.74031242988862,2.02310390153417,11.3207019793755,93.3193723670814,3631.62462853345,1902.34370876676,6262.88411799896
SODA_A,737421.5,10571.8326931529,0.976190476190476,0.95446290772277,0.595895603467827,7.8919757522548,165.416756922383,2.78415989800268,2.16013048161947,10.801967407969,92.7353745013414,6051.07603573993,2697.96998550253,10090.4221722654
SODA_A,737428.5,12995.4128367937,0.988095238095238,0.929866859575623,0.758044039871532,33.7558930872444,447.55569346067,2.83434431016499,2.05508033520087,8.05176451322476,90.8770128447111,6792.81315372985,3390.17208740422,12084.0037234381
SODA_A,737435.5,8957.87493310535,1,0.987664134554818,0.829964848757424,3.56461741450192,285.399090105025,2.4734277474197,1.66995523082488,6.51990581087531,87.8223032657387,4525.80977575009,2430.67010555584,8847.37179325579
SODA_A,737442.5,18767.090059998,0.988095238095238,0.936275861079147,0.840601469262894,13.2879628235942,195.235260065272,3.19352706389216,2.31365138544718,10.0693114795309,85.6944751598081,12933.1038146174,5017.20441150097,17571.1734058745
SODA_A,737449.5,15566.0177575376,0.988095238095238,0.956725717186153,0.935085809532879,16.0382917791676,354.581178638394,3.39049040013231,2.32348214256331,10.5530493526577,70.7546261706254,17198.3430180687,5738.60737416903,14892.4095028125
SODA_A,737456.5,12273.0556399505,0.976190476190476,0.962790694962024,1.15749222359788,10.8731397870233,281.34247068799,3.64005693300358,2.44460271868213,11.0672303367841,58.1661404736992,14181.189210501,4583.82436213226,11816.3837688956
SODA_A,737463.5,12304.6217276681,0.976190476190476,0.933895830749927,0.867376582449192,15.9487607302726,225.318331969103,3.32916837635961,2.46195667593584,10.044257011746,52.3600924581623,14015.7315479439,4897.1970573655,11491.2349304242
SODA_A,737470.5,10596.3037931758,0.964285714285714,0.896972304247797,0.709380766356546,22.27985231227,193.971245507644,3.53986665479885,2.73581035252835,10.7219427278511,47.3049276481061,12794.6366996587,4522.38958159685,9504.59102987454
SODA_A,737477.5,7777.94075138324,1,0.946666005166072,0.626388775578561,15.3640241426991,272.707855538162,2.98365518761464,2.30087422829628,10.8618400099759,63.7536127162561,6386.03676478621,2820.21965513745,7363.11209953037
SODA_A,737484.5,10438.4468465925,1,0.911331422346332,0.638029664427575,21.0355053363813,216.201922995267,2.94901678938145,2.27348325026864,10.7987593167788,57.0406931507789,8092.43287006415,3717.23947788889,9512.88461179177
SODA_A,737491.5,7936.30394927042,0.976190476190476,0.914430385288406,0.876489876139125,26.1194796605067,279.122979926817,3.01090465506457,2.13333824085281,6.96340502805875,74.1710649464525,4670.15432229137,2099.87901019601,7257.19747809724
SODA_A,737498.5,12742.5764425552,1,0.970663963801868,0.888086649266887,5.49730417318032,181.893525864397,3.32172882291012,2.4616826857202,9.49852688465384,74.0847467590421,10242.6047070658,3977.74235501248,12368.759758779
SODA_A,737505.5,9917.45436767694,1,0.984392170643148,0.896718533592782,7.03590615568473,443.757474193267,3.15219332413303,2.26346404236134,8.22440820253907,67.4656759705914,7976.86008788402,3210.68226294778,9762.66443225188
